Load,Inserted_Items,Insert_Time,Insert_Throughput,Existing_Lookup_Items,Existing_Lookup_Time,Existing_Lookup_Throughput,True_Positive_Count,True_Positive_Rate,Non_Existing_Lookup_Items,Non_Existing_Lookup_Time,Non_Existing_Lookup_Throughput,True_Negative_Count,True_Negative_Rate,False_Positive_Count,False_Positive_Rate
5,3355443,0.519,6465000.0,3355443,0.542,6190000.0,3355443,1.0,67108864,4.673,14360000.0,67108278,0.999991,586,8.73208e-06
10,3355443,0.526,6379000.0,3355443,0.554,6056000.0,3355443,1.0,67108864,4.769,14071000.0,67105982,0.999957,2882,4.29451e-05
15,3355443,0.517,6490000.0,3355443,0.544,6168000.0,3355443,1.0,67108864,4.884,13740000.0,67100937,0.999882,7927,0.000118122
20,3355443,0.517,6490000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,4.972,13497000.0,67092128,0.999751,16736,0.000249386
25,3355443,0.517,6490000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.096,13168000.0,67078173,0.999543,30691,0.000457332
30,3355443,0.518,6477000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.197,12913000.0,67057896,0.999241,50968,0.000759482
35,3355443,0.518,6477000.0,3355443,0.544,6168000.0,3355443,1.0,67108864,5.284,12700000.0,67030833,0.998837,78031,0.00116275
40,3355443,0.518,6477000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.402,12422000.0,66994997,0.998303,113867,0.00169675
45,3355443,0.518,6477000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.492,12219000.0,66949705,0.997628,159159,0.00237165
50,3355443,0.519,6465000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.614,11953000.0,66893403,0.996789,215461,0.00321062
55,3355443,0.517,6490000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.726,11720000.0,66824905,0.995769,283959,0.00423132
60,3355443,0.517,6490000.0,3355443,0.548,6123000.0,3355443,1.0,67108864,5.808,11554000.0,66743258,0.994552,365606,0.00544795
65,3355443,0.517,6490000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,5.948,11282000.0,66647706,0.993128,461158,0.00687179
70,3355443,0.517,6490000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,6.066,11063000.0,66537068,0.99148,571796,0.00852042
75,3355443,0.518,6477000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,6.146,10919000.0,66411185,0.989604,697679,0.0103962
80,3355443,0.517,6490000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,6.274,10696000.0,66268362,0.987476,840502,0.0125245
85,3355443,0.517,6490000.0,3355443,0.544,6168000.0,3355443,1.0,67108864,6.363,10546000.0,66107676,0.985081,1001188,0.0149189
90,3355443,0.536,6260000.0,3355443,0.543,6179000.0,3355443,1.0,67108864,6.443,10415000.0,65929614,0.982428,1179250,0.0175722
95,3355443,0.523,6415000.0,3355443,0.542,6190000.0,3355443,1.0,67108864,6.556,10236000.0,65732761,0.979494,1376103,0.0205055
100,,,,3355443,0.544,6168000.0,3355443,1.0,67108864,6.666,10067000.0,65516133,0.976266,1592731,0.0237335
