Load,Inserted_Items,Insert_Time,Insert_Throughput,Existing_Lookup_Items,Existing_Lookup_Time,Existing_Lookup_Throughput,True_Positive_Count,True_Positive_Rate,Non_Existing_Lookup_Items,Non_Existing_Lookup_Time,Non_Existing_Lookup_Throughput,True_Negative_Count,True_Negative_Rate,False_Positive_Count,False_Positive_Rate
5,3355443,1.196,2805000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,3.664,18315000.0,67108717,0.999998,147,2.19047e-06
10,3355443,1.196,2805000.0,3355443,1.187,2826000.0,3355443,1.0,67108864,3.875,17318000.0,67108479,0.999994,385,5.73695e-06
15,3355443,1.194,2810000.0,3355443,1.19,2819000.0,3355443,1.0,67108864,4.126,16264000.0,67108039,0.999988,825,1.22935e-05
20,3355443,1.195,2807000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,4.411,15213000.0,67107365,0.999978,1499,2.23368e-05
25,3355443,1.195,2807000.0,3355443,1.185,2831000.0,3355443,1.0,67108864,4.673,14360000.0,67106447,0.999964,2417,3.60161e-05
30,3355443,1.202,2791000.0,3355443,1.188,2824000.0,3355443,1.0,67108864,4.97,13502000.0,67105103,0.999944,3761,5.60433e-05
35,3355443,1.195,2807000.0,3355443,1.187,2826000.0,3355443,1.0,67108864,5.24,12807000.0,67103319,0.999917,5545,8.26269e-05
40,3355443,1.203,2789000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,5.522,12152000.0,67100875,0.999881,7989,0.000119045
45,3355443,1.196,2805000.0,3355443,1.187,2826000.0,3355443,1.0,67108864,5.792,11586000.0,67097443,0.99983,11421,0.000170186
50,3355443,1.194,2810000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,6.055,11083000.0,67092736,0.99976,16128,0.000240326
55,3355443,1.195,2807000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,6.35,10568000.0,67086155,0.999662,22709,0.00033839
60,3355443,1.195,2807000.0,3355443,1.187,2826000.0,3355443,1.0,67108864,6.591,10181000.0,67077309,0.99953,31555,0.000470206
65,3355443,1.194,2810000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,6.877,9758000.0,67065493,0.999354,43371,0.000646278
70,3355443,1.195,2807000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,7.112,9436000.0,67049894,0.999121,58970,0.000878721
75,3355443,1.196,2805000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,7.386,9085000.0,67029452,0.998817,79412,0.00118333
80,3355443,1.195,2807000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,7.619,8808000.0,67003698,0.998433,105166,0.0015671
85,3355443,1.195,2807000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,7.888,8507000.0,66970918,0.997944,137946,0.00205556
90,3355443,1.195,2807000.0,3355443,1.186,2829000.0,3355443,1.0,67108864,8.12,8264000.0,66930222,0.997338,178642,0.00266197
95,3355443,1.195,2807000.0,3355443,1.187,2826000.0,3355443,1.0,67108864,8.389,7999000.0,66880223,0.996593,228641,0.00340702
100,,,,3355443,1.187,2826000.0,3355443,1.0,67108864,8.613,7791000.0,66819156,0.995683,289708,0.00431699
