Load,Inserted_Items,Failed_Insertions,Insert_Time,Insert_Throughput,Existing_Lookup_Items,Existing_Lookup_Time,Existing_Lookup_Throughput,True_Positive_Count,True_Positive_Rate,Non_Existing_Lookup_Items,Non_Existing_Lookup_Time,Non_Existing_Lookup_Throughput,True_Negative_Count,True_Negative_Rate,False_Positive_Count,False_Positive_Rate,Deleted_Items,Delete_Time,Delete_Throughput
5,3355443,0,0.11,30504000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.677,25068000.0,67108683,0.999997,181,2.69711e-06,3355443,0.152,22075000.0
10,3355443,0,0.114,29433000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.677,25068000.0,67108455,0.999994,409,6.09457e-06,3355443,0.151,22221000.0
15,3355443,0,0.118,28435000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.669,25143000.0,67108234,0.999991,630,9.38773e-06,3355443,0.147,22826000.0
20,3355443,0,0.123,27280000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.695,24901000.0,67108041,0.999988,823,1.22637e-05,3355443,0.144,23301000.0
25,3355443,0,0.127,26420000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.69,24947000.0,67107828,0.999985,1036,1.54376e-05,3355443,0.142,23629000.0
30,3355443,0,0.133,25228000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.68,25040000.0,67107604,0.999981,1260,1.87755e-05,3355443,0.14,23967000.0
35,3355443,0,0.133,25228000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.657,25257000.0,67107422,0.999979,1442,2.14875e-05,3355443,0.137,24492000.0
40,3355443,0,0.136,24672000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.674,25096000.0,67107225,0.999976,1639,2.4423e-05,3355443,0.135,24855000.0
45,3355443,0,0.139,24139000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.675,25087000.0,67107038,0.999973,1826,2.72095e-05,3355443,0.133,25228000.0
50,3355443,0,0.141,23797000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.676,25078000.0,67106819,0.99997,2045,3.04729e-05,3355443,0.139,24139000.0
55,3355443,0,0.145,23140000.0,3355443,0.132,25420000.0,3355443,1.0,67108864,2.696,24892000.0,67106608,0.999966,2256,3.3617e-05,3355443,0.129,26011000.0
60,3355443,0,0.151,22221000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.678,25059000.0,67106407,0.999963,2457,3.66122e-05,3355443,0.126,26630000.0
65,3355443,0,0.155,21648000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.679,25049000.0,67106181,0.99996,2683,3.99798e-05,3355443,0.124,27060000.0
70,3355443,0,0.161,20841000.0,3355443,0.132,25420000.0,3355443,1.0,67108864,2.671,25124000.0,67105962,0.999957,2902,4.32432e-05,3355443,0.121,27730000.0
75,3355443,0,0.167,20092000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.679,25049000.0,67105731,0.999953,3133,4.66853e-05,3355443,0.118,28435000.0
80,3355443,0,0.174,19284000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.693,24919000.0,67105535,0.99995,3329,4.9606e-05,3355443,0.114,29433000.0
85,3355443,0,0.182,18436000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.686,24984000.0,67105328,0.999947,3536,5.26905e-05,3355443,0.111,30229000.0
90,3355443,0,0.19,17660000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.678,25059000.0,67105126,0.999944,3738,5.57005e-05,3355443,0.108,31068000.0
95,3355443,0,0.197,17032000.0,3355443,0.133,25228000.0,3355443,1.0,67108864,2.68,25040000.0,67104940,0.999942,3924,5.84722e-05,3355443,0.105,31956000.0
100,,,,,3355443,0.133,25228000.0,3355443,1.0,67108864,2.677,25068000.0,67104748,0.999939,4116,6.13332e-05,3355443,0.102,32896000.0
