Load,Inserted_Items,Insert_Time,Insert_Throughput,Existing_Lookup_Items,Existing_Lookup_Time,Existing_Lookup_Throughput,True_Positive_Count,True_Positive_Rate,Non_Existing_Lookup_Items,Non_Existing_Lookup_Time,Non_Existing_Lookup_Throughput,True_Negative_Count,True_Negative_Rate,False_Positive_Count,False_Positive_Rate
5,3355443,0.353,9505000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.375,19884000.0,66937958,0.997453,170906,0.0025467
10,3355443,0.352,9532000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,3.413,19662000.0,66765032,0.994877,343832,0.0051235
15,3355443,0.353,9505000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,3.445,19480000.0,66588418,0.992245,520446,0.00775525
20,3355443,0.353,9505000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,3.494,19206000.0,66408671,0.989566,700193,0.0104337
25,3355443,0.353,9505000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,3.543,18941000.0,66224440,0.986821,884424,0.0131789
30,3355443,0.353,9505000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.591,18688000.0,66037340,0.984033,1071524,0.015967
35,3355443,0.352,9532000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.645,18411000.0,65846446,0.981189,1262418,0.0188115
40,3355443,0.353,9505000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,3.694,18166000.0,65651259,0.97828,1457605,0.02172
45,3355443,0.353,9505000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.749,17900000.0,65453046,0.975326,1655818,0.0246736
50,3355443,0.358,9372000.0,3355443,0.332,10106000.0,3355443,1.0,67108864,3.789,17711000.0,65248274,0.972275,1860590,0.027725
55,3355443,0.352,9532000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.851,17426000.0,65039204,0.96916,2069660,0.0308403
60,3355443,0.353,9505000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.889,17256000.0,64825173,0.96597,2283691,0.0340296
65,3355443,0.361,9294000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,3.939,17037000.0,64606085,0.962706,2502779,0.0372943
70,3355443,0.352,9532000.0,3355443,0.328,10230000.0,3355443,1.0,67108864,3.994,16802000.0,64382755,0.959378,2726109,0.0406222
75,3355443,0.353,9505000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,4.045,16590000.0,64152468,0.955946,2956396,0.0440537
80,3355443,0.354,9478000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,4.095,16388000.0,63917688,0.952448,3191176,0.0475522
85,3355443,0.354,9478000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,4.14,16209000.0,63677428,0.948868,3431436,0.0511324
90,3355443,0.353,9505000.0,3355443,0.323,10388000.0,3355443,1.0,67108864,4.212,15932000.0,63431292,0.9452,3677572,0.0548001
95,3355443,0.353,9505000.0,3355443,0.324,10356000.0,3355443,1.0,67108864,4.246,15805000.0,63178349,0.941431,3930515,0.0585692
100,,,,3355443,0.323,10388000.0,3355443,1.0,67108864,4.305,15588000.0,62921635,0.937605,4187229,0.0623946
