Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS
0,62345.6,,
5,62503.6,80420.0,80491.1
10,62685.7,80420.0,80488.9
15,62871.3,80420.0,80488.3
20,63055.6,80443.1,80488.9
25,63250.6,80431.5,80488.6
30,63434.7,80439.2,80486.3
35,63646.5,80416.1,80486.1
40,63835.4,80316.0,80488.1
45,64064.5,80427.7,80485.1
50,64258.3,80431.5,80487.7
55,64468.2,80439.2,80494.3
60,64689.5,80443.1,80490.3
65,64912.2,80435.4,80487.6
70,65319.1,80435.4,80604.5
75,65520.6,80617.0,80666.3
80,65751.7,80609.3,80667.4
85,65971.5,80613.2,80665.2
90,66192.7,80620.9,80667.0
95,66418.1,80628.7,80666.5
100,,80617.0,80663.8
