Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS
0,127254.0,,
5,127943.0,232227.0,232913.0
10,128699.0,232259.0,232888.0
15,129449.0,232178.0,232926.0
20,130228.0,232178.0,232926.0
25,131036.0,232178.0,232913.0
30,131912.0,232243.0,232836.0
35,132726.0,232178.0,232836.0
40,133577.0,232178.0,232875.0
45,134487.0,232178.0,232862.0
50,135377.0,232178.0,232849.0
55,136328.0,232178.0,232836.0
60,137254.0,232195.0,232823.0
65,138249.0,232259.0,232745.0
70,139195.0,232259.0,232732.0
75,140190.0,232259.0,232732.0
80,141199.0,232243.0,232732.0
85,142228.0,232275.0,232707.0
90,143248.0,232195.0,232745.0
95,144277.0,232178.0,232732.0
100,,232259.0,232655.0
