Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS
0,6889.31,,
5,6998.95,8988.89,75152.0
10,7105.08,8989.58,69826.7
15,7205.76,8989.66,64889.8
20,7303.55,8991.34,60340.8
25,7397.03,8988.45,56115.6
30,7485.53,8989.68,52211.1
35,7570.01,8991.75,48601.5
40,7651.2,8989.51,45265.8
45,7728.78,8990.09,42189.2
50,7802.19,8992.84,39362.8
55,7872.28,8989.99,36753.6
60,7939.25,8991.34,34367.5
65,8002.05,8989.97,32177.0
70,8061.69,8994.04,30175.9
75,8101.43,8993.9,28320.3
80,8154.45,8969.95,26628.6
85,8205.68,8975.01,25112.8
90,8252.54,8970.17,23732.2
95,8297.62,8973.16,22476.3
100,,8970.65,21358.7
