Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS
0,13791.9,,
5,14036.5,26067.0,226000.0
10,14260.3,26084.2,217926.0
15,14484.2,26083.4,210032.0
20,14705.4,26082.6,202440.0
25,14925.9,26082.8,195130.0
30,15146.6,26083.2,188109.0
35,15364.9,26083.0,181362.0
40,15581.6,26082.8,174869.0
45,15797.4,26083.2,168620.0
50,16012.5,26083.4,162612.0
55,16223.9,26083.0,156838.0
60,16435.8,26082.6,151285.0
65,16637.7,26080.9,145885.0
70,16836.1,26075.5,140736.0
75,17042.3,26069.4,135884.0
80,17249.8,26068.4,131103.0
85,17448.7,26084.0,126577.0
90,17647.4,26072.8,122191.0
95,17839.9,26081.5,118022.0
100,,26078.7,113999.0
