Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS,delete_qps
0,17663.4,,,
5,17704.6,17678.1,25024.5,16547.9
10,17624.6,17705.7,25069.8,16526.0
15,17626.5,17704.6,24667.9,16513.7
20,17589.9,17760.1,24982.0,16546.1
25,17661.2,17776.0,24661.5,16487.0
30,17678.1,17725.5,24785.8,16504.1
35,17479.9,17787.0,24801.6,16550.1
40,17390.6,17722.0,24870.8,16596.8
45,17292.7,17718.8,25057.8,16540.4
50,17175.2,17719.3,24844.1,16529.6
55,17081.6,17715.4,24224.2,16561.7
60,16845.3,17601.1,24653.7,16508.3
65,16751.4,17610.4,24565.7,16556.2
70,16405.5,17600.2,24428.5,16521.3
75,16208.6,17605.9,24714.5,16518.4
80,15856.3,17610.9,24720.9,16512.0
85,15540.5,17623.9,24816.2,16533.7
90,15202.5,17599.6,24762.4,16504.2
95,,17608.9,24698.2,16480.2
