Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS,delete_qps
0,81365.8,,,
5,81357.9,94354.7,78464.2,75055.8
10,81332.2,94352.1,78465.7,69197.2
15,81283.0,94376.0,78465.7,69187.2
20,81200.4,94373.3,78464.2,69197.2
25,81057.2,94346.8,78465.7,69181.5
30,80850.2,94346.8,78465.7,69188.7
35,80537.7,94357.4,78464.2,69197.2
40,80114.7,94368.0,78473.0,69211.5
45,79580.8,94357.4,78464.2,69183.0
50,78929.3,94354.7,78464.2,69195.8
55,78129.9,94338.8,78464.2,69205.8
60,77207.6,94376.0,78464.2,69200.1
65,76138.9,94365.3,78464.2,69202.9
70,74938.4,94349.4,78465.7,69194.4
75,73563.3,94328.2,78465.7,69198.7
80,72082.6,94368.0,78465.7,69220.1
85,70437.7,94346.8,78467.1,69212.9
90,131339.0,94376.0,78467.1,69217.2
95,,83224.4,78470.1,69212.9
