Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS
0,63723.8,,
5,63896.1,80760.6,80543.5
10,64071.8,80745.1,80568.3
15,64248.5,80741.2,80526.5
20,64428.6,80752.8,80590.0
25,64599.8,80725.6,80535.8
30,64799.4,80749.0,80529.6
35,64965.0,80733.4,80531.2
40,65154.2,80745.1,80537.3
45,65316.6,80737.3,80582.2
50,65477.1,80749.0,80594.6
55,65661.7,80725.6,80597.7
60,65842.0,80721.8,80591.5
65,66028.6,80745.1,80529.6
70,66184.9,80721.8,80602.3
75,66360.3,80729.5,80603.9
80,66544.5,80737.3,80548.2
85,66700.6,80733.4,80559.0
90,66865.4,80741.2,80600.8
95,67057.9,80737.3,80552.8
100,,80745.1,80559.0
