Load,Insert_QPS,Positive_Query_QPS,Negative_Query_QPS
0,132863.0,,
5,133646.0,234024.0,233211.0
10,134401.0,233976.0,233224.0
15,135186.0,234041.0,233172.0
20,135941.0,234024.0,233198.0
25,136728.0,234057.0,233211.0
30,137529.0,233976.0,233276.0
35,138283.0,233976.0,233289.0
40,139091.0,234041.0,233224.0
45,139874.0,233976.0,233302.0
50,140689.0,233959.0,233315.0
55,141449.0,234024.0,233289.0
60,142258.0,233976.0,233341.0
65,143071.0,233959.0,233341.0
70,143831.0,234024.0,233315.0
75,144662.0,233976.0,233380.0
80,145446.0,234057.0,233380.0
85,146296.0,233976.0,233393.0
90,147104.0,233976.0,233406.0
95,147941.0,234024.0,233419.0
100,,233976.0,233432.0
